,Plant ID,treatment,Year,infl1,infl2,infl3,infl4,infl5,infl6,infl7
1,SHUTT26,Autogamy,2022,0,,,,,,
2,SHUTT27,Autogamy,2022,0,,,,,,
3,SHUTT28,Autogamy,2022,0,,,,,,
4,SHUTT30,Autogamy,2022,0,,,,,,
5,SHUTT35,Autogamy,2022,0,0,,,,,
6,SHUTT37,Autogamy,2022,0,,,,,,
7,SHUTT39b,Autogamy,2022,0,,,,,,
8,SHUTT40,Autogamy,2022,0,,,,,,
9,SHUTT51,Autogamy,2022,0,0,,,,,
10,SHUTT52,Autogamy,2022,0,0,,,,,
11,SHUTT53,Autogamy,2022,0,,,,,,
12,SHUTT27,Geitonogamy,2022,0,,,,,,
13,SHUTT28,Geitonogamy,2022,0,,,,,,
14,SHUTT29,Geitonogamy,2022,0,,,,,,
15,SHUTT38,Geitonogamy,2022,0,0,,,,,
16,SHUTT43,Geitonogamy,2022,0,0,,,,,
17,SHUTT51,Geitonogamy,2022,0,0,0,0,,,
18,SHUTT52,Geitonogamy,2022,0,0,0,0,,,
19,SHUTT27,Pollen suppl.,2022,1,,,,,,
20,SHUTT28,Pollen suppl.,2022,3,0,3,,,,
21,SHUTT29,Pollen suppl.,2022,5,5,0,,,,
22,SHUTT34,Pollen suppl.,2022,0,5,,,,,
23,SHUTT41,Pollen suppl.,2022,3,0,0,,,,
24,SHUTT43,Pollen suppl.,2022,0,0,,,,,
25,SHUTT51,Pollen suppl.,2022,7,6,9,3,,,
26,SHUTT52,Pollen suppl.,2022,2,0,0,0,,,
27,SHUTT53,Pollen suppl.,2022,3,0,0,,,,
28,SHUTT55,Pollen suppl.,2022,0,,,,,,
29,SHUTT56,Pollen suppl.,2022,4,,,,,,
30,SHUTT57,Pollen suppl.,2022,2,,,,,,
31,SHUTT58,Pollen suppl.,2022,0,,,,,,
32,SHUTT28,Open,2022,4,6,7,0,0,,
33,SHUTT29,Open,2022,1,1,0,,,,
34,SHUTT30,Open,2022,0,0,0,,,,
35,SHUTT31,Open,2022,0,0,,,,,
36,SHUTT34,Open,2022,0,,,,,,
37,SHUTT36,Open,2022,3,,,,,,
38,SHUTT41,Open,2022,0,0,3,2,,,
39,SHUTT43,Open,2022,0,0,0,,,,
40,SHUTT51,Open,2022,0,0,0,5,,,
41,SHUTT52,Open,2022,2,1,0,1,,,
42,SHUTT53,Open,2022,1,2,1,0,0,0,
43,SHUTT54,Open,2022,0,,,,,,
44,SHUTT55,Open,2022,0,,,,,,
45,SHUTT56,Open,2022,0,,,,,,
46,SHUTT57,Open,2022,2,0,,,,,
47,SHUTT58,Open,2022,6,,,,,,
48,SHUTT27,Birds & insects,2022,0,0,0,0,,,
49,SHUTT31,Birds & insects,2022,0,0,,,,,
50,SHUTT38,Birds & insects,2022,5,0,0,0,0,,
51,SHUTT42,Birds & insects,2022,0,0,0,,,,
52,SHUTT48,Birds & insects,2022,0,2,5,0,1,5,
53,SHUTT49,Birds & insects,2022,7,0,,,,,
54,SHUTT26,Insects only,2022,3,1,0,0,,,
55,SHUTT31,Insects only,2022,2,0,1,1,0,,
56,SHUTT33,Insects only,2022,5,0,2,4,6,4,
57,SHUTT37,Insects only,2022,3,0,0,0,0,,
58,SHUTT49,Insects only,2022,5,0,0,0,0,,
59,SHUTT50,Insects only,2022,0,2,0,2,,,
60,SHUTT58,Insects only,2022,2,0,0,0,0,0,
61,SHUTT28,Mammals only,2022,4,4,4,3,0,0,0
62,SHUTT29,Mammals only,2022,4,0,0,0,0,,
63,SHUTT32,Mammals only,2022,1,0,0,0,8,6,
64,SHUTT34,Mammals only,2022,0,0,0,0,0,,
65,SHUTT35,Mammals only,2022,0,0,1,1,2,2,
66,SHUTT39a,Mammals only,2022,3,5,0,0,0,0,
67,SHUTT39b,Mammals only,2022,8,0,,,,,
68,SHUTT45,Mammals only,2022,2,1,0,0,,,
69,SHUTT47,Mammals only,2022,1,0,0,0,0,,
70,SHUTT53,Mammals only,2022,0,0,0,0,0,0,
71,SHUTT54,Mammals only,2022,2,0,0,0,0,,
72,SHUTT57,Mammals only,2022,1,0,0,0,0,,
