Date,card.code,Species,n.flowers,survey.time ,survey.effort,Honey.possums,Dunnarts,Mice,White-cheeked.HE,Tawny-crowned.HE,Moths
01/07/2022,C01-1,B.sessilis,2,9,18,0,,,0,,0
03/07/2022,C09-2,B.sessilis,2,29.5,59,,,,,,
22/07/2021,C04,B.sessilis,3,22.5,67.5,,,,,,1
03/08/2021,C45,B.sessilis,3,27.7,83.1,2,,,,,4
05/08/2021,C15,B.sessilis,2,29,58,,,,1,,
05/08/2021,C22,B.sessilis,3,8,24,,,,,,5
07/08/2021,C27,B.sessilis,2,48,96,,,,3,,1
07/08/2021,C30,B.sessilis,5,68.25,341.25,,,,2,,
08/08/2021,C13,B.sessilis,3,31,93,,,,3,,
24/06/2022,C14-1,B.sessilis,1,55.5,55.5,,,,1,,
24/06/2022,C15-1,B.sessilis,3,99,297,,,,7,,
24/06/2022,C18-1,B.sessilis,1,134,134,,,,,,
25/06/2022,C24-1,B.sessilis,1,164.75,164.75,,,,12,,
26/06/2022,C01-2,B.sessilis,2,129.25,258.5,,,,,,
09/07/2022,C10-3,B.sessilis,2,140.25,280.5,,,,3,,
03/07/2022,C08-3,B.sessilis,5,231,1155,1,,,57,,2
10/07/2022,C15-4,B.sessilis,3,602.5,1807.5,25,,,,,
02/08/2022,C08-4,B.sessilis,2,242,484,1,,,14,,2
02/08/2022,C35-2,B.sessilis,2,230,460,,,,18,,
15/08/2022,C13-5,B.sessilis,4,144,576,,,3,,,
26/07/2021,C09-1,B.shuttleworthiana,6,252.25,1513.5,4,28,5,17,31,
27/07/2021,C31,B.shuttleworthiana,2,330,660,8,3,,,7,
27/07/2021,C09-2,B.shuttleworthiana,1,51.25,51.25,2,2,,,,
30/07/2021,C27,B.shuttleworthiana,1,8.5,8.5,1,,,,,
02/08/2021,C41,B.shuttleworthiana,2,74,148,,,,,14,
03/08/2021,C42,B.shuttleworthiana,1,86.75,86.75,,,,,6,
07/08/2021,C09-3,B.shuttleworthiana,3,51,153,,2,1,3,9,
08/08/2021,C15,B.shuttleworthiana,5,16.25,81.25,1,,,3,,
22/06/2022,C08-1,B.shuttleworthiana,2,165.75,331.5,,,,,,
24/06/2022,C17-1,B.shuttleworthiana,5,178,890,,,10,,,
24/06/2022,C20-1,B.shuttleworthiana,1,118.25,118.25,,,,11,1,
25/06/2022,C21-1,B.shuttleworthiana,2,337.75,675.5,,,,2,9,
25/06/2022,C23-1,B.shuttleworthiana,2,165,330,,,2,,1,
26/06/2022,C03-2,B.shuttleworthiana,5,49.25,246.25,,,,2,,
26/06/2022,C06-2,B.shuttleworthiana,2,138.5,277,,,,1,,
30/06/2022,C14-2,B.shuttleworthiana,3,172.5,517.5,,,,2,2,
30/06/2022,C13-2,B.shuttleworthiana,2,101.25,202.5,,,,5,1,
01/07/2022,C08-2,B.shuttleworthiana,3,139,417,,,,,,
01/07/2022,C29-1,B.shuttleworthiana,1,160.5,160.5,,,,,,
01/07/2022,C08-2,B.shuttleworthiana,3,139,417,,,,,,
02/07/2022,C10-2,B.shuttleworthiana,3,36.25,108.75,2,,12,,,
02/07/2022,C27-1,B.shuttleworthiana,3,73.75,221.25,,,,,,
03/07/2022,C34-1,B.shuttleworthiana,1,147.75,147.75,,,3,,1,
09/07/2022,C03-2,B.shuttleworthiana,2,207,414,,,,,,
25/06/2202,C22-1,B.shuttleworthiana,10,141,1410,,,2,4,,
29/07/2021,C14,B.splendida,2,4.5,9,,,,1,,
03/08/2021,C19,B.splendida,3,6.5,19.5,0,,,6,,
03/08/2021,C06,B.splendida,2,6.25,12.5,,,,2,,
17/07/2021,C26,B.splendida,2,123.25,246.5,,,,1,,
22/07/2021,C16,B.splendida,3,74,222,,,,,1,
24/07/2021,C15,B.splendida,2,27,54,0,,,,,
26/07/2021,C06,B.splendida,2,11.25,22.5,1,,,,,
27/07/2021,C27,B.splendida,2,46.25,92.5,,,,3,,
03/08/2021,C38,B.splendida,2,89,178,0,,,,,
09/08/2021,C22,B.splendida,3,41.3,123.9,,,,1,,
17/06/2022,C02-1,B.splendida,4,46.75,187,,,,,,
17/06/2022,C04-1,B.splendida,4,186.25,745,,,,,,
21/06/2022,C01-1,B.splendida,4,91,364,,,,1,,
21/06/2022,C06-1,B.splendida,6,90.25,541.5,,,,2,,
24/06/2022,C13-1,B.splendida,3,55,165,,,,,,
27/06/2022,C04-2,B.splendida,3,213,639,,,,,,
01/07/2022,C33-1,B.splendida,3,98,294,,,,,,
01/07/2022,C35-1,B.splendida,8,475.25,3802,,,,11,1,
06/07/2022,C30-2,B.splendida,5,28.5,142.5,,,,,,
25/08/2022,C19-4,B.splendida,1,179.5,179.5,,,,7,1,
06/08/2021,C25,B.subulata,3,107,321,,,2,,,
10/08/2021,C51,B.subulata,6,15,90,,,,,,
06/08/2021,C52,B.subulata,3,97.5,292.5,0,,,,,
02/08/2022,C30-3,B.subulata,8,109.25,874,,,4,2,7,
03/08/2022,C14-4/5,B.subulata,9,250.5,2254.5,3,,16,3,,
03/08/2022,C18-3,B.subulata,5,213,1065,,,40,,3,
03/08/2022,C19-4,B.subulata,7,113.5,794.5,,,41,,3,
04/08/2022,C13-4,B.subulata,6,191.25,1147.5,,,8,2,5,
04/08/2022,C26-3,B.subulata,6,244,1464,,,21,2,3,
07/08/2022,C17-3,B.subulata,5,166.75,833.75,,,13,,3,
12/08/2022,C03-3,B.subulata,10,269,2690,,,32,1,10,
12/08/2022,C05-4,B.subulata,6,135,810,2,,63,2,4,
12/08/2022,C22-4,B.subulata,4,163.75,655,,,8,,,
12/08/2022,C32-4,B.subulata,7,239.25,1674.75,,,,,,
14/08/2022,C26-4,B.subulata,14,146,2044,,,24,,1,
19/08/2022,C04-4,B.subulata,6,57.25,343.5,,,,,1,
19/08/2022,C28-4,B.subulata,8,138.25,1106,,,6,14,22,
20/08/2022,C23-3,B.subulata,7,477,3339,,,,,,
24/08/2022,C02-4,B.subulata,5,97,485,,,,,1,
25/08/2022,C26-5,B.subulata,6,190.75,1144.5,,,,,2,
23/08/2022,C01-2,B.subulata,10,24,240,,,7,,,
03/08/2022,C19-5,B.subulata,6,213.5,1281,,,18,25,15,
15/08/2022,C19-6,B.subulata,10,237,2370,,,,,1,
